Final results:
dst[87] bits: 0x3B77221A
golden[87] bits: 0x3B771F31
dst[88] bits: 0x3AE74B92
golden[88] bits: 0x3AE74721
dst[89] bits: 0x3BB04F22
golden[89] bits: 0x3BB04CFA
dst[90] bits: 0x3CE26857
golden[90] bits: 0x3CE26AAE
dst[91] bits: 0x3A213215
golden[91] bits: 0x3A212C8B
dst[92] bits: 0x3C6241A4
golden[92] bits: 0x3C62424A
dst[93] bits: 0x3C8315B6
golden[93] bits: 0x3C831615
dst[94] bits: 0x3CAA7AEE
golden[94] bits: 0x3CAA7B69
dst[95] bits: 0x3C3E6335
golden[95] bits: 0x3C3E63BE
dst[96] bits: 0x3C7A898A
golden[96] bits: 0x3C7A8A40
dst[97] bits: 0x3B9CCC9E
golden[97] bits: 0x3B9CCABC
dst[98] bits: 0x3BB9FBA9
golden[98] bits: 0x3BB9FACE
dst[99] bits: 0x3B588992
golden[99] bits: 0x3B5886EA
dst[100] bits: 0x3A45349D
golden[100] bits: 0x3A452F4A
dst[101] bits: 0x3C9FCD8F
golden[101] bits: 0x3C9FCE01
dst[102] bits: 0x3BC0862E
golden[102] bits: 0x3BC08556
dst[103] bits: 0x3AAF34CC
golden[103] bits: 0x3AAF302F
dst[104] bits: 0x3B9448EE
golden[104] bits: 0x3B94471F
dst[105] bits: 0x3B88FF0C
golden[105] bits: 0x3B88FD6A
dst[106] bits: 0x3B241E5F
golden[106] bits: 0x3B241B28
dst[107] bits: 0x3B1D3C29
golden[107] bits: 0x3B1D390B
dst[108] bits: 0x3BA9B921
golden[108] bits: 0x3BA9B71E
dst[109] bits: 0x3BEE7492
golden[109] bits: 0x3BEE737B
dst[110] bits: 0x3BE42833
golden[110] bits: 0x3BE42731
dst[111] bits: 0x3B762959
golden[111] bits: 0x3B762662
dst[112] bits: 0x3A303608
golden[112] bits: 0x3A302FDE
dst[113] bits: 0x3AC55A84
golden[113] bits: 0x3AC5568C
dst[114] bits: 0x3AA00B5A
golden[114] bits: 0x3AA006F1
dst[115] bits: 0x3BCBFD46
golden[115] bits: 0x3BCBFC58
dst[116] bits: 0x3C9A26CD
golden[116] bits: 0x3C9A273E
dst[117] bits: 0x3C700A22
golden[117] bits: 0x3C700AD5
dst[118] bits: 0x3C6EC14D
golden[118] bits: 0x3C6EC200
dst[119] bits: 0x3C80FAA6
golden[119] bits: 0x3C80FB02
dst[120] bits: 0x3ADAB61E
golden[120] bits: 0x3ADAB1E8
dst[121] bits: 0x3C8EB828
golden[121] bits: 0x3C8EB890
dst[122] bits: 0x3C1167FD
golden[122] bits: 0x3C116751
dst[123] bits: 0x3A5BCB35
golden[123] bits: 0x3A5BC563
dst[124] bits: 0x3A286F26
golden[124] bits: 0x3A28696B
dst[125] bits: 0x3A270138
golden[125] bits: 0x3A26FBAD
dst[126] bits: 0x3C4A3A55
golden[126] bits: 0x3C4A3AEC
dst[127] bits: 0x3AD5C05D
golden[127] bits: 0x3AD5BC35
